chapter	verse	text
2	16	They that fear the Lord will seek his good pleasure; And those who love him will be filled with the law.
2	17	They that fear the Lord will prepare their hearts, And will humble their souls in his sight,
2	18	saying, We will fall into the hands of the Lord, And not into the hands of men: For as his majesty is, So also is his mercy.
3	1	Hear me your father, O my children, And do thereafter, that you may be saved.
3	2	For the Lord has given the father glory as touching the children, And has confirmed the judgement of the mother as touching the sons.
3	3	He that honors his father will make atonement for sins:
3	4	And he that gives glory to his mother is as one that lays up treasure.
3	5	Whoso honors his father will have joy of his children; And in the day of his prayer he will be heard.
3	6	He that gives glory to his father will have length of days; And he that hearkens to the Lord will bring rest to his mother,
3	7	And will do service under his parents, as to masters.
3	8	In deed and word honor your father, That a blessing may come upon you from him.
3	9	For the blessing of the father establishes the houses of children; But the curse of the mother roots out the foundations.
3	10	Glorify not yourself in the dishonor of your father; For your father’s dishonor is no glory to you.
3	11	For the glory of a man is from the honor of his father; And a mother in dishonor is a reproach to her children.
3	12	My son, help your father in his old age; And grieve him not as long as he lives.
3	13	And if he fails in understanding, have patience with him; And dishonor him not while you are in your full strength.
3	14	For the relieving of your father will not be forgotten: And instead of sins it will be added to build you up.
3	15	In the day of your affliction it will remember you; As fair weather upon ice, So will your sins also melt away.
3	16	He that forsakes his father is as a blasphemer; And he that provoketh his mother is cursed of the Lord.
3	17	My son, go on with your business in meekness; So will you be beloved of an acceptable man.
3	18	The greater you are, humble yourself the more, And you will find favor before the Lord.
3	19	
3	20	For great is the potency of the Lord, And he is glorified of those who are lowly.
3	21	Seek not things that are too hard for you, And search not out things that are above your strength.
3	22	The things that have been commanded you, think thereupon; For you have no need of the things that are secret.
3	23	Be not over busy in your superfluous works: For more things are showed to you than men can understand.
3	24	For the conceit of many has led them astray; And evil surmising has caused their judgement to slip.
3	25	
3	26	A stubborn heart will fare ill at the last; And he that loves danger will perish therein.
3	27	A stubborn heart will be laden with troubles; And the sinner will heap sin upon sin.
3	28	The calamity of the proud is no healing; For a plant of wickedness has taken root in him.
3	29	The heart of the prudent will understand a parable; And the ear of a listener is the desire of a wise man.
3	30	Water will quench a flaming fire; And almsgiving will make atonement for sins.
3	31	He that requites good turns is mindful of that which comes afterward; And in the time of his falling he will find a support.
4	1	My son, deprive not the poor of his living, And make not the needy eyes to wait long.
4	2	Make not a hungry soul sorrowful; Neither provoke a man in his distress.
4	3	To a heart that is provoked add not more trouble; And defer not to give to him that is in need.
4	4	Reject not a suppliant in his affliction; And turn not away your face from a poor man.
4	5	Turn not away your eye from one that asks of you, And give none occasion to a man to curse you:
4	6	For if he curse you in the bitterness of his soul, He that made him will hear his supplication.
4	7	Get yourself the love of the congregation; And to a great man bow your head.
4	8	Incline your ear to a poor man, And answer him with peaceful words in meekness.
4	9	Deliver him that is wronged from the hand of him that wrongeth him; And be not faint-hearted in giving judgement.
4	10	Be as a father to the fatherless, And instead of a husband to their mother: So will you be as a son of the Most High, And he will love you more than your mother does.
4	11	Wisdom exalts her sons, And takes hold of those who seek her.
4	12	He that loves her loves life; And those who seek to her early will be filled with gladness.
4	13	He that holds her fast will inherit glory; And where he enters, the Lord will bless.
4	14	They that do her service will minister to the Holy One; And those who love her the Lord does love.
4	15	He that gives ear to her will judge the nations; And he that gives heed to her will dwell securely.
4	16	If he trust her, he will inherit her; And his generations will have her in possession.
4	17	For at the first she will walk with him in crooked ways, And will bring fear and dread upon him, And torment him with her discipline, Until she may trust his soul, and try him by her judgements:
4	18	Then will she return again the straight way to him, And will gladden him, and reveal to him her secrets.
4	19	If he go astray, she will forsake him, And give him over to his fall.
4	20	Observe the opportunity, and beware of evil; And be not ashamed concerning your soul.
4	21	For there is a shame that brings sin; And there is a shame that is glory and grace.
4	22	Accept not the person of any against your soul; And reverence no man to your falling.
4	23	Refrain not speech, when it tendeth to safety; And hide not your wisdom for the sake of fair-seeming.
4	24	For by speech wisdom will be known; And instruction by the word of the tongue.
4	25	Speak not against the truth; And be abashed for your ignorance.
4	26	Be not ashamed to make confession of your sins; And force not the current of the river.
4	27	Lay not yourself down for a fool to tread upon; And accept not the person of one that is mighty.
4	28	Strive for the truth to death, and the Lord God will fight for you.
4	29	Be not hasty in your tongue, And in your deeds slack and remiss.
4	30	Be not as a lion in your house, Nor fanciful among your servants.
4	31	Let not your hand be stretched out to receive, and closed when you should repay.
5	1	Set not your heart upon your goods; And say not, They are sufficient for me.
5	2	Follow not your own mind and your strength, To walk in the desires of your heart;
5	3	And say not, Who will have dominion over me? For the Lord will surely take vengeance on you.
5	4	Say not, I sinned, and what happened to me? For the Lord is longsuffering.
5	5	Concerning atonement, be not without fear, To add sin upon sins:
5	6	And say not, His compassion is great; He will be pacified for the multitude of my sins: For mercy and wrath are with him, And his indignation will rest upon sinners.
5	7	Make no tarrying to turn to the Lord; And put not off from day to day: For suddenly will the wrath of the Lord come forth; And you will perish in the time of vengeance.
5	8	Set not your heart upon unrighteous gains: For you will profit nothing in the day of calamity.
5	9	Winnow not with every wind, And walk not in every path: Thus does the sinner that has a double tongue.
5	10	Be stedfast in your understanding; And let your word be one.
5	11	Be swift to hear; And with patience make your answer.
5	12	If you have understanding, answer your neighbor; And if not, let your hand be upon your mouth.
5	13	Glory and dishonor is in talk: And the tongue of a man is his fall.
5	14	Be not called a whisperer; And lie not in wait with your tongue: For upon the thief there is shame, And an evil condemnation upon him that has a double tongue.
5	15	In a great matter and in a small, be not ignorant;
6	1	And instead of a friend become not an enemy; For an evil name will inherit shame and reproach: Even so will the sinner that has a double tongue.
6	2	Exalt not yourself in the counsel of your soul; That your soul be not torn in pieces as a bull:
6	3	You will eat up your leaves, and destroy your fruits, And leave yourself as a dry tree.
6	4	A wicked soul will destroy him that has gotten it, And will make him a laughing stock to his enemies.
6	5	Sweet words will multiply a man’s friends; And a fair-speaking tongue will multiply courtesies.
6	6	Let those that are at peace with you be many; But your counselors one of a thousand.
6	7	If you would get you a friend, get him by proving, And be not in haste to trust him.
6	8	For there is a friend that is so for his own occasion; And he will not continue in the day of your affliction.
6	9	And there is a friend that turns to enmity; And he will discover strife to your reproach.
6	10	And there is a friend that is a companion at the table; And he will not continue in the day of your affliction.
6	11	And in your prosperity he will be as yourself, And will be bold over your servants:
6	12	If you shall be brought low, he will be against you, And will hide himself from your face.
6	13	Separate yourself from your enemies; And beware of your friends.
6	14	A faithful friend is a strong defence; And he that has found him has found a treasure.
6	15	There is nothing that can be taken in exchange for a faithful friend; And his excellency is beyond price.
6	16	A faithful friend is a medicine of life; And those who fear the Lord will find him.
6	17	He that fears the Lord directs his friendship aright; For as he is, so is his neighbor also.
6	18	My son, gather instruction from your youth up: And even to hoar hairs you will find wisdom.
6	19	Come to her as one that plows and sows, And wait for her good fruits; For your toil will be little in the tillage of her, And you will eat of her fruits right soon.
6	20	How exceeding harsh is she to the unlearned! And he that is without understanding will not abide in her.
6	21	As a mighty stone of trial will she rest upon him; And he will not delay to cast her from him.
6	22	For wisdom is according to her name; and she is not manifest to many.
6	23	Give ear, my son, and accept my judgement, And refuse not my counsel,
6	24	And bring your feet into her fetters, And your neck into her chain.
6	25	Put your shoulder under her, and bear her, And be not grieved with her bonds.
6	26	Come to her with all your soul, And keep her ways with your whole power.
6	27	Search, and seek, and she will be made known to you; And when you have got hold of her, let her not go.
6	28	For at the last you will find her rest; And she will be turned for you into gladness.
6	29	And her fetters will be to you for a covering of strength, And her chains for a robe of glory.
6	30	For there is a golden ornament upon her, And her bands are a riband of blue.
6	31	You shall put her on as a robe of glory, And shall array you with her as a crown of rejoicing.
6	32	My son, if you will, you shall be instructed; And if you will yield your soul, you will be prudent.
6	33	If you love to hear, you will receive; And if you incline your ear, you will be wise.
6	34	Stand you in the multitude of the elders; And whoso is wise, cleave you to him.
6	35	Be willing to listen to every godly discourse; And don’t let the proverbs of understanding escape you.
6	36	If you see a man of understanding, get you betimes to him, And let your foot wear out the steps of his doors.
6	37	Let your mind dwell upon the ordinances of the Lord, And meditate continually in his commandments: He will establish your heart, And your desire of wisdom will be given to you.
7	1	Do no evil, so will no evil overtake you.
7	2	Depart from wrong, and it will turn away from you.
7	3	My son, sow not upon the furrows of unrighteousness, And you shall not reap them sevenfold.
7	4	Seek not of the Lord preeminence, Neither of the king the seat of honor.
7	5	Justify not yourself in the presence of the Lord; And display not your wisdom before the king.
7	6	Seek not to be a judge, Lest you be not able to take away iniquities; Lest haply you fear the person of a mighty man, And lay a stumbling block in the way of your uprightness.
7	7	Sin not against the multitude of the city, And cast not yourself down in the crowd.
7	8	Bind not up sin twice; For in one sin you will not be unpunished.
7	9	Say not, He will look upon the multitude of my gifts, And when I offer to the Most High God, he will accept it.
7	10	Be not faint-hearted in your prayer; And neglect not to give alms.
7	11	Laugh not a man to scorn when he is in the bitterness of his soul; For there is one who humbles and exalts.
7	12	Devise not a lie against your brother; Neither do the like to a friend.
7	13	Love not to make any manner of lie; For the custom thereof is not for good.
7	14	Prate not in the multitude of elders; And repeat not your words in your prayer.
7	15	Hate not laborious work; Neither husbandry, which the Most High has ordained.
7	16	Number not yourself among the multitude of sinners: Remember that wrath will not wait.
7	17	Humble your soul greatly; For the punishment of the ungodly man is fire and the worm.
7	18	Change not a friend for a thing indifferent; Neither a true brother for the gold of Ophir.
7	19	Forgo not a wise and good wife; For her grace is above gold.
7	20	Entreat not evil a servant that works truly, Nor a hireling that gives you his life.
7	21	Let your soul love a wise servant; Defraud him not of liberty.
7	22	Hast you cattle? have an eye to them; And if they are profitable to you, let them stay by you.
7	23	Hast you children? correct them, And bow down their neck from their youth.
7	24	Hast you daughters? give heed to their body, And make not your face cheerful toward them.
7	25	Give your daughter in marriage, and you will have accomplished a great matter: And give her to a man of understanding.
7	26	Hast you a wife after your mind? cast her not out: But trust not yourself to one that is hateful.
7	27	Give glory to your father with your whole heart; And forget not the pangs of your mother.
7	28	Remember that of them you were born: And what will you recompense them for the things that they have done for you?
7	29	Fear the Lord with all your soul; And reverence his priests.
7	30	With all your strength love him that made you; And forsake not his ministers.
7	31	Fear the Lord, and glorify the priest; And give him his portion, even as it is commanded you; The first fruits, and the trespass offering, and the gift of the shoulders, And the sacrifice of sanctification, and the first fruits of holy things.
7	32	Also to the poor man stretch out your hand, That your blessing may be perfected.
7	33	A gift has grace in the sight of every man living; And for a dead man keep not back grace.
7	34	Be not lacking to those who weep; And mourn with those who mourn.
7	35	Be not slow to visit a sick man; For by such things you will gain love.
7	36	In all your matters remember your last end, And you will never do amiss.
8	1	Contend not with a mighty man, Lest haply you fall into his hands.
8	2	Strive not with a rich man, lest haply he overweigh you: For gold has destroyed many, And turned away the hearts of kings.
8	3	Contend not with a man that is full of tongue, And heap not wood upon his fire.
8	4	Jest not with a rude man, Lest your ancestors be dishonored.
8	5	Reproach not a man when he turns from sin: Remember that we are all worthy of punishment.
8	6	Dishonour not a man in his old age; For some of us also are waxing old.
8	7	Rejoice not over one that is dead: Remember that we die all.
8	8	Neglect not the discourse of the wise, And be conversant with their proverbs; For of them you will learn instruction, And how to minister to great men.
8	9	Miss not the discourse of the aged; For they also learned of their fathers: Because from them you will learn understanding, And to give answer in time of need.
8	10	Kindle not the coals of a sinner, Lest you be burned with the flame of his fire.
8	11	Rise not up from the presence of an insolent man, Lest he lie in wait as an ambush for your mouth.
8	12	Lend not to a man that is mightier than yourself; And if you lend, be as one that has lost.
8	13	Be not surety above your power: And if you be surety, take thought as one that will have to pay.
8	14	Go not to law with a judge; For according to his honor will they give judgement for him.
8	15	Go not in the way with a rash man, Lest he be aggrieved with you; For he will do according to his own will, And you will perish with his folly.
8	16	Fight not with a wrathful man, And travel not with him through the desert: For blood is as nothing in his sight; And where there is no help, he will overthrow you.
8	17	Take not counsel with a fool; For he will not be able to conceal the matter.
8	18	Do no secret thing before a stranger; For you know not what he will bring forth.
8	19	Open not your heart to every man; And let him not return you a favor.
9	1	Be not jealous over the wife of your bosom, And teach her not an evil lesson against yourself.
9	2	Give not your soul to a woman, That she should set her foot upon your strength.
9	3	Go not to meet a woman that playeth the harlot, Lest haply you fall into her snares.
9	4	Use not the company of a woman that is a singer, Lest haply you be caught by her attempts.
9	5	Gaze not on a maid, lest haply you be trapped in her penalties.
9	6	Give not your soul to harlots, That you lose not your inheritance.
9	7	Look not round about you in the streets of the city, Neither wander you in the solitary places thereof.
9	8	Turn away your eye from a comely woman, And gaze not on another’s beauty: By the beauty of a woman many have been led astray; And herewith love is kindled as a fire.
9	9	Sit not at all with a woman that has a husband; And revel not with her at the wine; Lest haply your soul turn away to her, And with your spirit you slide into destruction.
9	10	Forsake not an old friend; For the new is not comparable to him: As new wine, so is a new friend; If it become old, you will drink it with gladness.
9	11	Envy not the glory of a sinner; For you know not what will be his overthrow.
9	12	Delight not in the delights of the ungodly: Remember they will not go unpunished to the grave.
9	13	Keep you far from the man that has power to kill, And you will have no suspicion of the fear of death: And if you come to him, commit no fault, Lest he take away your life: Know surely that you go about in the midst of snares, And walk upon the battlements of a city.
9	14	As well as you can, guess at your neighbors; And take counsel with the wise.
9	15	Let your converse be with men of understanding; And let all your discourse be in the law of the Most High.
9	16	Let just men be the companions of your board; And let your glorying be in the fear of the Lord.
9	17	For the hand of the artificers a work will be commended: And he that rules the people will be counted wise for his speech.
9	18	A man full of tongue is dangerous in his city; And he that is headlong in his speech will be hated.
10	1	A wise judge will instruct his people; And the government of a man of understanding will be well ordered.
10	2	As is the judge of his people, so are his ministers; And as is the ruler of the city, such are all those who dwell therein.
10	3	An uninstructed king will destroy his people; And a city will be established through the understanding of the powerful.
10	4	In the hand of the Lord is the authority of the earth; And in due time he will raise up over it one that is profitable.
10	5	In the hand of the Lord is the prosperity of a man; And upon the person of the scribe will he lay his honor.
10	6	Be not angry with your neighbor for every wrong; And do nothing by works of violence.
10	7	Pride is hateful before the Lord and before men; And in the judgement of both will unrighteousness err.
10	8	Sovereignty is transferred from nation to nation, Because of iniquities, and deeds of violence, and greed of money.
10	9	Why is earth and ashes proud? Because in his life he has cast away his bowels.
10	10	It is a long disease; the physician mocketh: And he is a king today, and tomorrow he will die.
10	11	For when a man is dead, He will inherit creeping things, and beasts, and worms.
10	12	It is the beginning of pride when a man departs from the Lord; And his heart is departed from him that made him.
10	13	For the beginning of pride is sin; And he that keeps it will pour forth abomination. For this cause the Lord brought upon them strange calamities, And overthrew them utterly.
10	14	The Lord cast down the thrones of rulers, And set the meek in their stead.
10	15	The Lord plucked up the roots of nations, And planted the lowly in their stead.
10	16	The Lord overthrew the lands of nations, And destroyed them to the foundations of the earth.
10	17	He took some of them away, and destroyed them, And made their memorial to cease from the earth.
10	18	Pride has not been created for men, Nor wrathful anger for the offspring of women.
10	19	What manner of seed has honor? the seed of man. What manner of seed has honor? those who fear the Lord. What manner of seed has no honor? the seed of man. What manner of seed has no honor? those who transgress the commandments.
10	20	In the midst of kindred he that rules them has honor; And in the eyes of the Lord those who fear him.
10	21	
10	22	The rich man, and the honorable, and the poor, Their glorying is the fear of the Lord.
10	23	It is not right to dishonor a poor man that has understanding; And it is not fitting to glorify a man that is a sinner.
10	24	The great man, and the judge, and the mighty man, will be glorified; And there is not one of them greater than he that fears the Lord.
10	25	Free men will minister to a wise servant; And a man that has knowledge will not murmur thereat.
10	26	Be not over wise in doing your work; And glorify not yourself in the time of your distress.
10	27	Better is he that labores, and abounds in all things, Than he that glorifieth himself, and lacketh bread.
10	28	My son, glorify your soul in meekness, And give it honor according to the worthiness thereof.
10	29	Who will justify him that sins against his own soul? And who will glorify him that dishonors his own life?
10	30	A poor man is glorified for his knowledge; And a rich man is glorified for his riches.
10	31	But he that is glorified in poverty, how much more in riches? And he that is inglorious in riches, how much more in poverty?
11	1	The wisdom of the lowly will lift up his head, And make him to sit in the midst of great men.
11	2	Commend not a man for his beauty; And abhor not a man for his outward appearance.
11	3	The bee is little among such as fly; And her fruit is the chief of sweetmeats.
11	4	Glory not in the putting on of raiment, And exalt not yourself in the day of honor; For the works of the Lord are wonderful, And his works are hidden among men.
11	5	Many kings have sat down upon the ground; And one that was never thought of has worn a diadem.
11	6	Many mighty men have been greatly disgraced; And men of renown have been delivered into other men’s hands.
11	7	Blame not before you have examined: Understand first, and then rebuke.
11	8	Answer not before you have heard; And interrupt not in the midst of speech.
11	9	Strive not in a matter that concerns you not; And where sinners judge, sit not you with them.
11	10	My son, be not busy about many matters: For if you meddle much, you will not be unpunished; And if you pursue, you will not overtake; And you will not escape by fleeing.
11	11	There is one that toileth, and labores, and makes haste, And is so much the more behind.
11	12	There is one that is sluggish, and has need of help, Lacking in strength, and that abounds in poverty; And the eyes of the Lord looked upon him for good, And he set him up from his low estate,
11	13	And lifted up his head; And many marveled at him.
11	14	Good things and evil, life and death, Poverty and riches, are from the Lord.
11	17	The gift of the Lord remains with the godly, And his good pleasure will prosper forever.
11	18	There is that waxes rich by his wariness and pinching, And this is the portion of his reward:
11	19	When he says, I have found rest, And now will I eat of my goods; Yet he knows not what time will pass, And he will leave them to others, and die.
11	20	Be stedfast in your covenant, and be conversant therein, And wax old in your work.
11	21	Marvel not at the works of a sinner; But trust the Lord, and abide in your labor: For it is an easy thing in the sight of the Lord swiftly on the sudden to make a poor man rich.
11	22	The blessing of the Lord is in the reward of the godly; And in an hour that comes swiftly he makes his blessing to flourish.
11	23	Say not, What use is there of me? And what from henceforth will my good things be?
11	24	Say not, I have sufficient, And from henceforth what harm will happen to me?
11	25	In the day of good things there is a forgetfulness of evil things; And in the day of evil things a man will not remember things that are good.
11	26	For it is an easy thing in the sight of the Lord To reward a man in the day of death according to his ways.
11	27	The affliction of an hour causes forgetfulness of delight; And in the last end of a man is the revelation of his deeds.
11	28	Call no man blessed before his death; And a man will be known in his children.
11	29	Bring not every man into your house; For many are the plots of the deceitful man.
11	30	As a decoy partridge in a cage, so is the heart of a proud man; And as one that is a spy, he looks upon your falling.
11	31	For he lies in wait to turn things that are good into evil; And in things that are praiseworthy he will lay blame.
11	32	From a spark of fire a heap of many coals is kindled; And a sinful man lies in wait for blood.
11	33	Take heed of an evil-doer, for he contriveth wicked things; Lest haply he bring upon you blame forever.
11	34	Receive a stranger into your house, and he will distract you with brawls, And estrange you from your own.
12	1	If you do good, know to whom you do it; And your good deeds will have thanks.
12	2	Do good to a godly man, and you will find a recompense; And if not from him, yet from the Most High.
12	3	There will no good come to him that continueth to do evil, Nor to him that gives no alms.
12	4	Give to the godly man, And help not the sinner.
12	5	Do good to one that is lowly, And give not to an ungodly man: Keep back his bread, and give it not to him, Lest he overmaster you thereby: For you will receive twice as much evil For all the good you will have done to him.
12	6	For the Most High also hates sinners, And will repay vengeance to the ungodly.
12	7	Give to the good man, And help not the sinner.
12	8	A man’s friend will not be fully tried in prosperity; And his enemy will not be hidden in adversity.
12	9	In a man’s prosperity his enemies are grieved; And in his adversity even his friend will be separated from him.
12	10	Never trust your enemy: For like as the brass rusts, so is his wickedness.
12	11	Though he humble himself, and go crouching, Yet take good heed, and beware of him, And you will be to him as one that has wiped a mirror, And you will know that he has not utterly rusted it.
12	12	Set him not by you, Lest he overthrow you and stand in your place; Let him not sit on your right hand, Lest he seek to take your seat, And at the last you acknowledge my words, And be pricked with my sayings.
12	13	Who will pity a charmer that is bitten with a serpent, Or any that come near wild beasts?
12	14	Even so who will pity him that goes to a sinner, And is mingled with him in his sins?
12	15	For a while he will abide with you, And if you give way, he will not hold out.
12	16	And the enemy will speak sweetly with his lips, And in his heart take counsel how to overthrow you into a pit: The enemy will weep with his eyes, And if he find opportunity, he will not be satiated with blood.
12	17	If adversity meet you, you will find him there before you; And as though he would help you, he will trip up your heel.
12	18	He will shake his head, and clap his hands, And whisper much, and change his countenance.
13	1	He that touches pitch will be defiled; And he that has fellowship with a proud man will become like to him.
13	2	Take not up a burden above your strength; And have no fellowship with one that is mightier and richer than yourself. What fellowship shall the earthen pot have with the kettle? This will strike, and that will be dashed in pieces.
13	3	The rich man does a wrong, and he threatens withal: The poor is wronged, and he will entreat withal.
13	4	If you be profitable, he will make merchandise of you; And if you be in lack, he will forsake you.
13	5	If you have substance, he will live with you; And he will make you bare, and will not be sorry.
13	6	Hath he had need of you? then he will deceive you, And smile upon you, and give you hope: He will speak you fair, and say, What need you?
13	7	And he will shame you by his meats, Until he have made you bare twice or thrice, And at the last he will laugh you to scorn: Afterward will he see you, and will forsake you, And shake his head at you.
13	8	Beware that you be not deceived, and brought low in your mirth.
13	9	If a mighty man invite you, be retiring, And so much the more will he invite you.
13	10	Press not upon him, lest you be thrust back; And stand not far off, lest you be forgotten.
13	11	Affect not to speak with him as an equal, And believe not his many words: For with much talk will he try you, And in a smiling manner will search you out.
13	12	He that keeps not to himself words spoken is unmerciful; And he will not spare to hurt and to bind.
13	13	Keep them to yourself, and take earnest heed, For you walk in peril of your falling.
13	14	
13	15	Every living creature loves his like, And every man loves his neighbor.
13	16	All flesh consorts according to kind, And a man will cleave to his like.
13	17	What fellowship shall the wolf have with the lamb? So is the sinner to the godly.
13	18	What peace is there between the hyena and the dog? And what peace between the rich man and the poor?
13	19	Wild asses are the prey of lions in the wilderness; So poor men are pasture for the rich.
13	20	Lowliness is an abomination to a proud man; So a poor man is an abomination to the rich.
13	21	A rich man when he is shaken is held up of his friends; But one of low degree being down is thrust away also by his friends.
13	22	When a rich man is fallen, there are many helpers; He speaks things not to be spoken, and men justify him: A man of low degree falls, and men rebuke him withal; He utters wisdom, and no place is allowed him.
13	23	A rich man speaks, and all keep silence; And what he says they extol to the clouds: A poor man speaks, and they say, Who is this? And if he stumble, they will help to overthrow him.
13	24	Riches are good that have no sin; And poverty is evil in the mouth of the ungodly.
13	25	The heart of a man changes his countenance, Whether it be for good or for evil.
13	26	A cheerful countenance is a token of a heart that is in prosperity; And the finding out of parables is a weariness of thinking.
14	1	Blessed is the man that has not slipped with his mouth, And is not pricked with sorrow for sins.
14	2	Blessed is he whose soul does not condemn him, And who is not fallen from his hope.
14	3	Riches are not comely for a niggard; And what should an envious man do with money?
14	4	He that gathers by taking from his own soul gathers for others; And others will revel in his goods.
14	5	He that is evil to himself, to whom will he be good? And he will not rejoice in his possessions.
14	6	There is none more evil than he that envies himself; And this is a recompense of his wickedness.
14	7	Even if he does good, he does it in forgetfulness; And at the last he shows forth his wickedness.
14	8	Evil is he that envies with his eye, Turning away the face, and despising the souls of men.
14	9	A covetous man’s eye is not satisfied with his portion; And wicked injustice dries up his soul.
14	10	An evil eye is grudging of bread, And he is miserly at his table
14	11	My son, according as you have, do well to yourself, And bring offerings to the Lord worthily.
14	12	Remember that death will not wait, And that the covenant of the grave is not showed to you.
14	13	Do well to your friend before you die; And according to your ability stretch out your hand and give to him.
14	14	Defraud not yourself of a good day; And don’t let the portion of a good desire pass you by.
14	15	Shall you not leave your labors to another? And your toils to be divided by lot?
14	16	Give, and take, and decieve your soul; For there is no seeking of luxury in the grave.
14	17	All flesh waxes old as a garment; For the covenant from the beginning is, You shall die the death.
14	18	As of the leaves flourishing on a thick tree, Some it sheds, and some it makes to grow; So also of the generations of flesh and blood, One comes to an end, and another is born.
14	19	Every work rots and falls away, And the worker thereof shall depart with it.
14	20	Blessed is the man that shall meditate in wisdom, And that shall discourse by his understanding.
14	21	He that considers her ways in his heart Shall also have knowledge in her secrets.
14	22	Go forth after her as one that tracketh, And lie in wait in her ways.
14	23	He that pries in at her windows Shall also hearken at her doors.
14	24	He that lodges close to her house Shall also fasten a nail in her walls.
14	25	He shall pitch his tent near at hand to her, And will lodge in a lodging where good things are.
14	26	He will set his children under her shelter, And will rest under her branches.
14	27	By her he will be covered from heat, And will lodge in her glory.
15	1	He that fears the Lord will do this; And he that has possession of the law will obtain her.
15	2	And as a mother shall she meet him, And receive him as a wife married in her virginity.
15	3	With bread of understanding will she feed him, And give him water of wisdom to drink.
15	4	He will be stayed upon her, and will not be moved; And will rely upon her, and will not be confounded.
15	5	And she will exalt him above his neighbors; And in the midst of the congregation will she open his mouth.
15	6	He will inherit joy, and a crown of gladness, And an everlasting name.
15	7	Foolish men will not obtain her; And sinners will not see her.
15	8	She is far from pride; And liars will not remember her.
15	9	Praise is not comely in the mouth of a sinner; For it was not sent him from the Lord.
15	10	For praise will be spoken in wisdom; And the Lord will prosper it.
15	11	Say not you, It is through the Lord that I fell away; For you shall not do the things that he hates.
15	12	Say not you, It is he that caused me to err; For he has no need of a sinful man.
15	13	The Lord hates every abomination; And those who fear him love it not.
15	14	He himself made man from the beginning, And left him in the hand of his own counsel.
15	15	If you will, you shall keep the commandments; And to perform faithfulness is of your own good pleasure.
15	16	He has set fire and water before you: You will stretch forth your hand to whichever you will.
15	17	Before man is life and death; And whichever he likes, it shall be given him.
15	18	For great is the wisdom of the Lord: He is mighty in power, and sees all things;
15	19	And his eyes are upon those who fear him; And he will take knowledge of every work of man.
